person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
15930,1211759,misdemeanor,other,2019-07-31,4079940,26.504109589041096,M,Black,2018-03-31,0,0,0
586087,8668241,misdemeanor,other,2020-11-14,4497239,31.265753424657536,M,Black,2018-01-17,0,0,0
51576,4373617,misdemeanor,violent,2018-02-07,3138306,52.04657534246575,M,Black,2018-08-23,0,0,0
48080,3552282,misdemeanor,property,2018-06-22,6445341,38.95890410958904,M,Black,2016-11-11,0,0,0
1241445,6213037,misdemeanor,property,2017-01-21,6213037,27.578082191780823,M,White,2017-01-21,0,0,0
1243038,11413763,misdemeanor,property,2012-07-04,5295157,26.567123287671233,M,Black,2017-08-25,1,0,0
56410,1711461,misdemeanor,other,2020-05-17,4937826,33.4027397260274,M,Black,2017-10-27,0,0,0
27382,6291909,felony,property,2016-12-30,7381538,26.564383561643837,M,Black,2016-03-07,1,1,0
10237,5510584,felony,drug,2017-07-13,3013712,26.4986301369863,M,Black,2018-09-16,0,1,0
34599,5382130,misdemeanor,property,2017-08-09,5352026,20.945205479452056,M,mixed,2017-08-15,0,0,0
58583,9278383,misdemeanor,drug,2014-07-05,3982258,27.813698630136987,M,Black,2018-04-07,1,0,1
474178,5847053,misdemeanor,other,2017-04-25,5597498,28.304109589041097,M,White,2017-06-23,0,0,0
1806016,5290353,felony,drug,2017-08-27,5290353,22.063013698630137,M,White,2017-08-27,0,1,0
235227,6072435,misdemeanor,property,2017-02-26,5726487,39.8986301369863,F,Black,2017-05-27,0,0,0
113657,6607334,felony,property,2016-09-22,6607334,23.334246575342465,M,Black,2016-09-22,0,1,0
1773950,7447701,misdemeanor,violent,2016-02-19,7550575,37.12054794520548,M,Black,2016-01-17,0,0,0
243409,5175054,misdemeanor,other,2017-09-15,5142809,30.34794520547945,M,Black,2017-09-21,0,0,0
1773950,8292368,misdemeanor,drug,2015-06-03,7550575,37.12054794520548,M,Black,2016-01-17,0,0,0
531993,9035233,misdemeanor,property,2014-09-23,5598101,52.59178082191781,M,White,2017-06-23,0,0,0
88044,2901631,misdemeanor,drug,2018-10-08,2901631,58.295890410958904,M,Black,2018-10-08,0,0,0
525326,7213308,misdemeanor,drug,2016-04-19,7213308,61.583561643835615,M,White,2016-04-19,0,0,0
1306011,4796723,misdemeanor,property,2017-11-19,7193530,59.12054794520548,M,White,2016-04-26,1,0,0
333745,8418290,misdemeanor,other,2015-04-20,5846255,21.72054794520548,M,Black,2017-04-25,0,0,0
1609935,7395386,misdemeanor,other,2016-03-02,7395386,41.40547945205479,,,2016-03-02,0,0,0
22194,10963663,misdemeanor,other,2012-12-09,4884956,37.95616438356164,F,White,2017-11-02,0,0,0
316053,10890985,felony,property,2013-01-08,5560634,41.33698630136986,F,White,2017-07-03,0,1,0
34599,2012386,misdemeanor,drug,2019-03-24,5352026,20.945205479452056,M,mixed,2017-08-15,0,0,0
1337603,7000981,misdemeanor,drug,2016-05-31,7000981,24.95068493150685,F,mixed,2016-05-31,0,0,0
76733,4951813,misdemeanor,property,2017-10-25,4573842,27.47945205479452,F,White,2017-12-30,0,0,1
30578,7283727,felony,violent,2016-04-01,7283727,30.66849315068493,F,,2016-04-01,0,1,0
83127,91871,misdemeanor,other,2020-03-13,6186016,21.172602739726027,M,Black,2017-01-28,1,0,0
845123,2238643,misdemeanor,property,2019-02-13,5413918,46.97260273972603,M,Black,2017-08-03,1,0,0
65745,13654150,misdemeanor,property,2012-10-22,2673805,27.67945205479452,M,White,2018-11-19,0,0,5
2406706,4500531,misdemeanor,violent,2018-01-16,4500531,25.15890410958904,F,Black,2018-01-16,0,0,0
306374,1310553,misdemeanor,property,2019-07-12,4456365,53.26027397260274,F,Asian,2018-01-24,0,0,0
46960,10400824,misdemeanor,other,2013-06-28,5915304,24.994520547945207,F,White,2017-04-07,0,0,0
51323,7056356,misdemeanor,violent,2016-05-14,4837325,32.26027397260274,M,White,2017-11-13,1,0,3
1295291,7149170,misdemeanor,violent,2016-05-09,7149171,37.394520547945206,M,White,2016-05-09,0,0,0
27249,10924979,misdemeanor,other,2012-12-22,6478529,22.87945205479452,M,Black,2016-11-01,0,0,0
27785,3588856,felony,property,2018-06-16,4280859,19.4,M,Black,2018-02-26,1,1,0
1306011,5522833,felony,property,2017-07-11,7193530,59.12054794520548,M,White,2016-04-26,1,1,0
